title,price,seller,ram,memory
Apple iPhone 12 Pro 256Gb Pacific Blue,558875,Mobilion,6 Гб,256Гб
Xiaomi Poco X3 NFC 6/128Gb Cobalt Blue,115100,i-Store,6 Гб,128Гб
Xiaomi Redmi Note 9 Pro 6/128Gb Glacier White,110000,i-Store,6 Гб,128Гб
Xiaomi Redmi Note 9 Pro 6/64Gb Glacier White,89480,Great Choice,6 Гб,64Гб
Xiaomi Redmi Note 9 Pro 6/64Gb Interstellar Gray,89480,Great Choice,6 Гб,64Гб
Xiaomi Redmi Note 9 Pro 6/64Gb Glacier White,89634,Tsmart.kz,6 Гб,64Гб
Xiaomi Redmi 7 3/32Gb Blue,52900,mobitron,3 Гб,32Гб
Samsung Galaxy S20 Ultra 5G 12/128Gb Cosmic Black,343489,Фирменный магазин техники,12 Гб,128Гб
Apple iPhone 7 32Gb Rose Gold,137700,i-Store,2 Гб,32Гб
Xiaomi Redmi Note 9 Pro 6/128Gb Interstellar Gray,110000,i-Store,6 Гб,128Гб
